,year,latitude,longitude,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,sun hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,production
8205,2017,42.06,-71.73,15.661263736263738,6.71813186813187,1170.1000000000001,1009.6,115.08000000000003,1299.0,0 days 12:16:24.395604395,17.475549450549458,42.75247252747252,214.15384615384616,4927.360000000001,910.46,2.89
8206,2017,45.8433,-95.15,12.48324175824176,2.810714285714284,800.8,725.0,58.59,882.0,0 days 12:17:58.021978021,21.567032967032958,42.28681318681321,207.70604395604394,5191.23,876.1,1.62
8207,2017,41.6809,-73.5766,16.2164835164835,7.112362637362635,991.8000000000001,857.9,96.60000000000001,1218.0,0 days 12:16:16.978021978,15.190659340659355,38.95604395604396,206.73076923076923,4970.450000000001,905.8299999999999,3.25
8208,2017,39.1836,-75.5044,19.34697802197803,11.431593406593414,1100.4,1052.6,34.79,1121.0,0 days 12:15:25.714285714,19.024450549450563,40.70164835164839,205.3846153846154,5466.299999999999,1120.3600000000001,14.89
8209,2017,40.3698,-74.5868,18.66126373626373,9.652472527472527,1133.5,1045.5,63.0,1224.0,0 days 12:15:48.626373626,16.515934065934083,39.51153846153847,199.95054945054946,5133.789999999999,1043.06,5.58
8210,2017,36.3619,-76.9169,22.766758241758232,12.671428571428585,1189.5,1171.3,13.02,1215.0,0 days 12:14:33.461538461,15.338736263736262,37.267582417582425,180.92032967032966,5609.780000000001,1144.23,9.1
8211,2017,44.8142,-91.8841,13.697252747252751,4.194505494505493,959.2,861.7,72.94,1216.0,0 days 12:17:29.835164835,17.951098901098902,39.52362637362638,203.9010989010989,4982.66,865.76,1.62
8212,2017,35.7581,-81.4161,22.051373626373643,11.301373626373627,1129.9,1092.4,26.32,1303.0,0 days 12:14:25.879120879,12.254120879120864,32.125549450549414,196.52472527472528,5731.65,1102.5900000000001,10.15
8213,2017,42.4878,-76.32,14.081318681318685,5.268681318681315,1289.0,1113.0,139.93,1734.0,0 days 12:16:34.945054945,17.16868131868131,43.0021978021978,221.88736263736263,4806.610000000001,833.74,3.25
8214,2017,42.7622,-74.2016,14.19505494505494,4.868131868131871,1140.8000000000002,948.6999999999999,140.28,1457.0,0 days 12:16:39.890109890,16.115109890109895,41.78846153846154,222.87362637362637,4874.969999999999,839.51,3.25
8215,2017,32.581,-82.926,27.029395604395585,15.378571428571437,951.8,951.8,0.0,971.0,0 days 12:13:35.934065934,15.733241758241764,36.72115384615385,183.59065934065933,6097.2,1403.56,7.62
8216,2017,42.0724,-71.9971,15.349175824175825,6.267032967032969,1205.3,1038.4,119.91000000000001,1318.0,0 days 12:16:24.560439560,17.40054945054946,42.59230769230769,214.46703296703296,4936.700000000001,896.4000000000001,1.62
8217,2017,42.0713,-71.9982,15.349175824175825,6.267032967032969,1205.3,1038.4,119.91000000000001,1318.0,0 days 12:16:24.890109890,17.40054945054946,42.59230769230769,214.46703296703296,4936.700000000001,896.6700000000001,1.62
8218,2017,42.0709,-71.9997,15.449175824175821,6.367032967032969,1205.3,1038.4,119.91000000000001,1318.0,0 days 12:16:25.054945054,17.40054945054946,42.59230769230769,214.46703296703296,4936.700000000001,898.7,1.62
8219,2017,42.0539,-71.9229,15.501648351648347,6.417307692307692,1205.3,1038.4,119.91000000000001,1318.0,0 days 12:16:25.384615384,17.40054945054946,42.59230769230769,214.46703296703296,4936.700000000001,900.28,3.09
8220,2017,39.9108,-86.2453,17.866758241758244,8.354670329670338,1087.6999999999998,1061.8,21.840000000000003,1167.0,0 days 12:15:37.252747252,20.259615384615383,41.7623626373626,198.6346153846154,5436.86,1058.96,5.25
8221,2017,39.8908,-86.2556,17.91923076923078,8.403021978021979,1087.6999999999998,1061.8,21.840000000000003,1167.0,0 days 12:15:36.923076923,20.259615384615383,41.7623626373626,198.6346153846154,5436.86,1060.94,4.3
8222,2017,39.9047,-86.26,17.866758241758244,8.354670329670338,1087.6999999999998,1061.8,21.840000000000003,1167.0,0 days 12:15:36.428571428,20.259615384615383,41.7623626373626,198.6346153846154,5436.86,1058.69,4.15
8223,2017,34.0301,-117.5178,23.92335164835166,13.944505494505492,319.20000000000005,319.20000000000005,0.0,452.0,0 days 12:13:55.384615384,13.258516483516482,32.93928571428572,185.3956043956044,7186.2,1355.69,4.27
8224,2017,44.4396,-93.1973,13.974175824175823,4.719505494505493,969.7,879.3,67.34,1131.0,0 days 12:17:20.604395604,19.469780219780233,41.40879120879122,207.47802197802199,5090.8099999999995,900.44,8.14
8225,2017,35.475,-78.5486,23.409065934065897,12.74285714285714,1139.8000000000002,1130.8000000000002,6.4399999999999995,1200.0,0 days 12:14:18.461538461,15.897252747252761,36.50824175824178,178.48901098901098,5842.699999999999,1212.8,3.77
8226,2017,34.9601,-77.9804,23.614010989010964,13.062912087912077,1198.0,1193.4,3.29,1138.0,0 days 12:14:12.032967032,15.817857142857152,37.28131868131867,179.38186813186815,5751.83,1178.98,9.05
8227,2017,35.0119,-78.0783,23.51401098901101,12.962912087912088,1198.0,1193.4,3.29,1138.0,0 days 12:14:11.868131868,15.817857142857152,37.28131868131867,179.38186813186815,5751.83,1176.93,9.05
8228,2017,36.0049,-78.8485,22.664560439560443,12.379945054945045,1094.8,1059.6,24.849999999999998,1161.0,0 days 12:14:30.824175824,14.73653846153846,35.743406593406625,186.20054945054946,5754.8099999999995,1162.82,6.64
8229,2017,42.1332,-71.2719,15.822252747252746,7.124175824175829,1117.1,944.0,124.32000000000001,1267.0,0 days 12:16:26.538461538,17.25329670329671,40.87554945054948,212.25824175824175,4923.5599999999995,913.55,3.25
8230,2017,35.5346,-119.06,26.60989010989011,14.082967032967023,281.6,281.6,0.0,519.0,0 days 12:14:21.428571428,11.616208791208782,27.907967032967047,204.8379120879121,7279.320000000001,1549.69,2.29
8231,2017,29.7408,-96.1599,28.19423076923077,17.694780219780235,1366.0,1364.2,1.33,1193.0,0 days 12:12:56.538461538,19.59532967032969,39.7489010989011,160.75,6099.4400000000005,1441.23,3.11
8232,2017,45.464,-94.091,13.216758241758251,3.5521978021978033,909.6999999999999,834.6999999999999,56.7,982.0,0 days 12:17:48.791208791,18.950549450549442,40.325,204.76923076923077,5084.38,876.51,1.62
