Unnamed: 0,country,capacity_mw,lat,lon,primary_fuel,Solar Generation (2017),province
20600,ESP,50.0,40.7767,-1.6498,Wind,106.33,Teruel
20601,ESP,19.8,40.8131,-1.5964,Wind,51.87,Teruel
20602,ESP,24.42,43.3828,-4.0024,Wind,51.93,Cantabria
20603,ESP,28.0,40.8126,-2.4938,Wind,65.19,Guadalajara
20604,ESP,49.94,41.1722,-2.4348,Wind,110.45,Guadalajara
20605,ESP,24.42,42.4168,-7.763999999999999,Wind,30.47,Ourense
20606,ESP,42.0,42.5273,-3.4383,Wind,95.92,Burgos
20607,ESP,49.5,39.4085,-2.2017,Wind,105.27,Cuenca
20608,ESP,11.05,41.8804,-4.3624,Wind,23.5,Palencia
20609,ESP,40.0,41.2513,-2.5268,Wind,85.22,Soria
20610,ESP,48.0,42.6088,-7.7712,Wind,77.53,Ourense
20611,ESP,20.0,38.24,-1.4199,Wind,42.53,Murcia
20612,ESP,36.0,42.903999999999996,-8.7427,Wind,80.77,A Coruna
20613,ESP,16.5,43.2384,-8.3843,Wind,33.5,A Coruna
20614,ESP,14.4,43.5333,-7.9333,Wind,30.62,A Coruna
20615,ESP,11.4,43.5333,-7.9333,Wind,24.24,A Coruna
20616,ESP,29.9,40.8125,0.5216,Wind,69.62,Tarragona
20617,ESP,16.9,37.1766,-2.9502,Wind,35.51,Granada
20618,ESP,99.0,37.1766,-2.9502,Wind,226.57,Granada
20619,ESP,23.1,42.6525,-1.626,Wind,49.12,Navarra
20620,ESP,13.6,36.7507,-3.5179,Wind,41.87,Granada
20621,ESP,18.0,40.4532,-4.4647,Wind,47.58,avila
20622,ESP,14.45,41.0983,-2.5741,Wind,30.73,Guadalajara
20623,ESP,64.0,41.0983,-2.5741,Wind,155.99,Guadalajara
20624,ESP,40.0,38.8299,-3.5781,Wind,112.29,Ciudad Real
20625,ESP,14.0,39.45,-2.0833,Wind,33.47,Cuenca
20626,ESP,24.6,36.1848,-5.4921,Wind,55.7,Ceuta
20627,ESP,14.45,37.4712,-5.6461,Wind,37.23,Sevilla
20628,ESP,32.3,43.1,-2.6333,Wind,68.69,Vizcaya
20629,ESP,24.0,41.8675,-0.4609,Wind,60.35,Huesca
20630,ESP,20.0,43.3667,-7.4833,Wind,51.38,Lugo
20631,ESP,49.5,-2.9997,37.2174,Wind,125.94,Illes Balears
20632,ESP,64.5,-0.2108,40.4682,Wind,160.85,Illes Balears
20633,ESP,46.0,41.3424,-0.9599,Wind,104.75,Zaragoza
20634,ESP,14.0,36.0139,-5.6069,Wind,37.67,Ceuta
20635,ESP,28.8,37.3449,-2.5091,Wind,79.97,Almeria
20636,ESP,63.5,37.3449,-2.5091,Wind,151.79,Almeria
20637,ESP,18.0,43.3598,-4.3493,Wind,41.27,Cantabria
20638,ESP,28.5,39.2167,-2.15,Wind,66.34,Albacete
20639,ESP,49.5,38.6492,-1.98,Wind,134.68,Albacete
20640,ESP,44.8,36.0139,-5.6069,Wind,110.34,Ceuta
20641,ESP,11.9,38.9209,-1.7202,Wind,25.04,Albacete
20642,ESP,49.5,39.4085,-2.2017,Wind,105.27,Cuenca
20643,ESP,69.0,42.0439,-3.937,Wind,135.93,Burgos
20644,ESP,38.25,40.8127,-0.8454,Wind,89.03,Teruel
20645,ESP,16.0,36.0139,-5.6069,Wind,43.05,Ceuta
20646,ESP,32.0,42.18899999999999,-2.2951,Wind,68.05,La Rioja
20647,ESP,49.5,41.8804,-4.3624,Wind,125.38,Palencia
20648,ESP,21.12,43.4668,-7.7238,Wind,58.25,Lugo
