,country,capacity_mw,lat,lon,primary_fuel,Solar Generation (2017)
20259,ESP,24.0,43.5354,-6.7193,Gas,56.88
20260,ESP,40.83,38.6871,-4.1073,Oil,85.06
20261,ESP,12.68,38.8167,-0.6167,Gas,30.05
20262,ESP,1005.14,42.6125,-6.5647,Coal,4585.17
20263,ESP,268.02,42.1142,-7.209,Hydro,92.93
20264,ESP,49.9,39.0212,-5.5333,Solar,100.23
20265,ESP,13.99,39.5333,-1.6,Hydro,26.64
20266,ESP,49.2,42.6469,-6.3204,Wind,123.7
20267,ESP,130.66,42.4496,-6.9476,Hydro,166.49
20268,ESP,14.071,40.0667,-0.2,Gas,33.35
20269,ESP,390.94,37.2156,-6.943,Gas,926.65
20270,ESP,537.28,37.5645,-0.9513,Oil,1119.42
20271,ESP,485.85,42.8261,-4.8463,Coal,2216.31
20272,ESP,347.7,43.3082,-5.7001,Coal,1586.11
20273,ESP,897.02,43.34,-3.0539,Oil,1868.95
20274,ESP,855.67,43.4451,-7.8621,Gas,2028.21
20275,ESP,424.91,42.1718,-1.6773,Gas,1007.17
20276,ESP,839.35,39.9592,-0.001,Gas,1989.53
20277,ESP,274.635,41.2977,-0.3376,Gas,650.97
20278,ESP,815.64,37.5732,-0.9392,Gas,1933.33
20279,ESP,819.03,40.9596,0.8692,Gas,1941.37
20280,ESP,391.31,43.329,-8.503,Gas,927.53
20281,ESP,854.1700000000001,43.3161,-5.8777,Gas,2024.66
20282,ESP,20.0,38.26,-1.682,Solar,43.7
20283,ESP,21.2,39.332,-2.525,Solar,44.32
20284,ESP,10.0,38.7071,-3.72,Solar,18.83
20285,ESP,8.0,38.822,-7.005,Solar,15.81
20286,ESP,4.8,39.212,-5.7803,Solar,10.3
20287,ESP,5.6,39.0105,-1.8949,Solar,11.06
20288,ESP,5.7,37.589,-5.816,Solar,11.42
20289,ESP,6.1,37.5189,-5.6592,Solar,12.59
20290,ESP,7.1,37.8094,-1.0631,Solar,14.9
20291,ESP,5.1,39.2714,-1.4687,Solar,10.25
20292,ESP,7.0,39.1159,-5.3349,Solar,13.84
20293,ESP,28.0,39.275,-2.4095,Solar,57.2
20294,ESP,11.3,39.883,-5.667,Solar,23.8
20295,ESP,5.2,42.1517,-1.6556,Solar,9.13
20296,ESP,6.0,41.2199,-0.3017,Solar,11.87
20297,ESP,5.4,38.7271,-5.5158,Solar,10.86
20298,ESP,23.11,38.7288,-2.005,Hydro,50.25
20299,ESP,5.9,38.2584,-1.4568,Solar,11.72
20300,ESP,10.9,42.1194,-1.7154,Solar,20.28
20301,ESP,10.0,37.641,-4.584,Solar,20.26
20302,ESP,10.7,39.4628,-6.3061,Solar,22.68
20303,ESP,61.94,43.3891,-6.8232,Hydro,97.39
20304,ESP,12.56,36.9402,-3.361,Hydro,23.65
20305,ESP,5.0,38.9932,-3.5714,Solar,9.98
20306,ESP,5.9,37.3341,-3.2508,Solar,12.88
20307,ESP,5.9,37.3488,-3.2707,Solar,12.92
20308,ESP,15.2,39.8942,-5.3246,Solar,32.94
20309,ESP,175.0,37.228,-5.867,Solar,393.82
20310,ESP,31.8,39.6564,-2.8,Solar,65.66
20311,ESP,21.666,37.6051,-0.9862,Gas,51.35
20312,ESP,15.18,41.0845,-3.8599,Wind,32.28
20313,ESP,24.75,38.4545,-1.214,Wind,52.63
20314,ESP,30.0,40.3167,-5.9167,Wind,63.8
20315,ESP,12.0,38.9667,-1.2167,Wind,25.52
20316,ESP,18.0,41.3268,-3.3144,Wind,41.94
20317,ESP,44.0,42.6487,-3.5904,Wind,93.57
